"employee_id","is_hp","m_cognitive","m_leadership","m_strengths","m_experience","final_match_rate"
"EMP101520",False,"92.962962962963","78","60.0000000000000000","100","62.488888888888900000"
"EMP101827",False,"87","80","60.0000000000000000","100","61.100000000000000000"
"EMP101827",True,"87","80","60.0000000000000000","100","61.100000000000000000"
"EMP100350",False,"94","83","40.0000000000000000","100","60.800000000000000000"
"EMP100350",True,"94","83","40.0000000000000000","100","60.800000000000000000"
"EMP100051",True,"99.6774193548387","73","40.0000000000000000","100","60.503225806451610000"
"EMP100051",False,"99.6774193548387","73","40.0000000000000000","100","60.503225806451610000"
"EMP100224",True,"96.2962962962963","78","40.0000000000000000","100","60.488888888888890000"
"EMP100224",False,"96.2962962962963","78","40.0000000000000000","100","60.488888888888890000"
"EMP100721",False,"86.7741935483871","75","60.0000000000000000","100","60.032258064516130000"
"EMP100721",True,"86.7741935483871","75","60.0000000000000000","100","60.032258064516130000"
"EMP100815",True,"99.2592592592593","71","40.0000000000000000","100","59.977777777777790000"
"EMP100815",False,"99.2592592592593","71","40.0000000000000000","100","59.977777777777790000"
"EMP101248",True,"94.1851851851852","78","40.0000000000000000","100","59.855555555555560000"
"EMP101248",False,"94.1851851851852","78","40.0000000000000000","100","59.855555555555560000"
"EMP100232",True,"99.6666666666667","84","20.0000000000000000","100","59.700000000000010000"
"EMP100232",False,"99.6666666666667","84","20.0000000000000000","100","59.700000000000010000"
"EMP101515",True,"100","67","40.0000000000000000","100","59.400000000000000000"
"EMP101515",False,"100","67","40.0000000000000000","100","59.400000000000000000"
"EMP101166",False,"94.6511350059737","74","40.0000000000000000","100","59.195340501792110000"
"EMP101166",True,"94.6511350059737","74","40.0000000000000000","100","59.195340501792110000"
"EMP100707",False,"99.4444444444444","51","60.0000000000000000","100","59.033333333333320000"
"EMP101026",False,"86.6666666666667","55","80.0000000000000000","100","59.000000000000010000"
"EMP101026",True,"86.6666666666667","55","80.0000000000000000","100","59.000000000000010000"
"EMP101836",False,"87.1565113500598","84","40.0000000000000000","100","58.946953405017940000"
"EMP101836",True,"87.1565113500598","84","40.0000000000000000","100","58.946953405017940000"
"EMP101212",False,"100","64","40.0000000000000000","100","58.800000000000000000"
"EMP101212",True,"100","64","40.0000000000000000","100","58.800000000000000000"
"EMP100313",True,"92.7777777777778","91","20.0000000000000000","96.1538461538462","58.648717948717960000"
"EMP100313",False,"92.7777777777778","91","20.0000000000000000","96.1538461538462","58.648717948717960000"
"EMP101453",False,"96.726403823178","68","40.0000000000000000","100","58.617921146953400000"
"EMP101616",True,"92.2222222222222","74","40.0000000000000000","100","58.466666666666660000"
"EMP101616",False,"92.2222222222222","74","40.0000000000000000","100","58.466666666666660000"
"EMP100456",False,"100","63","40.0000000000000000","98.0769230769231","58.407692307692310000"
"EMP100456",True,"100","63","40.0000000000000000","98.0769230769231","58.407692307692310000"
"EMP100298",True,"91.6666666666667","74","40.0000000000000000","100","58.300000000000010000"
"EMP100298",False,"91.6666666666667","74","40.0000000000000000","100","58.300000000000010000"
"EMP101823",True,"92.3775388291517","72","40.0000000000000000","100","58.113261648745510000"
"EMP101823",False,"92.3775388291517","72","40.0000000000000000","100","58.113261648745510000"
"EMP101609",True,"87.4814814814815","64","60.0000000000000000","100","58.044444444444450000"
"EMP101609",False,"87.4814814814815","64","60.0000000000000000","100","58.044444444444450000"
"EMP101493",False,"85.9259259259259","73","60.0000000000000000","86.5384615384615","58.031623931623920000"
"EMP101493",True,"85.9259259259259","73","60.0000000000000000","86.5384615384615","58.031623931623920000"
"EMP101171",False,"96.6666666666667","65","40.0000000000000000","100","58.000000000000010000"
"EMP101171",True,"96.6666666666667","65","40.0000000000000000","100","58.000000000000010000"
"EMP100869",False,"96.4516129032258","65","40.0000000000000000","100","57.935483870967740000"
"EMP101611",False,"94.1851851851852","68","40.0000000000000000","100","57.855555555555560000"
"EMP101611",True,"94.1851851851852","68","40.0000000000000000","100","57.855555555555560000"
"EMP101624",False,"98.7096774193548","65","40.0000000000000000","92.3076923076923","57.843672456575670000"
"EMP101975",False,"90.7048984468339","73","40.0000000000000000","100","57.811469534050170000"
"EMP100402",True,"92.037037037037","71","40.0000000000000000","100","57.811111111111100000"
"EMP100402",False,"92.037037037037","71","40.0000000000000000","100","57.811111111111100000"
"EMP100605",True,"93.3333333333333","84","20.0000000000000000","100","57.799999999999990000"
"EMP100605",False,"93.3333333333333","84","20.0000000000000000","100","57.799999999999990000"
"EMP101471",True,"100","79","20.0000000000000000","88.4615384615384","57.646153846153840000"
"EMP101471",False,"100","79","20.0000000000000000","88.4615384615384","57.646153846153840000"
"EMP100419",True,"100","76","20.0000000000000000","94.2307692307692","57.623076923076920000"
"EMP100419",False,"100","76","20.0000000000000000","94.2307692307692","57.623076923076920000"
"EMP100885",True,"92.0669056152927","70","40.0000000000000000","100","57.620071684587810000"
"EMP100885",False,"92.0669056152927","70","40.0000000000000000","100","57.620071684587810000"
"EMP100241",True,"100","73","20.0000000000000000","100","57.600000000000000000"
"EMP100241",False,"100","73","20.0000000000000000","100","57.600000000000000000"
"EMP100955",False,"95.1612903225806","54","60.0000000000000000","92.3076923076923","57.579156327543410000"
"EMP100139",False,"95.6666666666667","64","40.0000000000000000","100","57.500000000000010000"
"EMP100139",True,"95.6666666666667","64","40.0000000000000000","100","57.500000000000010000"
"EMP100864",False,"94.2962962962963","66","40.0000000000000000","100","57.488888888888890000"
"EMP100884",True,"96","78","20.0000000000000000","100","57.400000000000000000"
"EMP100884",False,"96","78","20.0000000000000000","100","57.400000000000000000"
"EMP101919",False,"93.3333333333333","67","40.0000000000000000","100","57.399999999999990000"
"EMP100860",False,"85.2497013142174","64","60.0000000000000000","100","57.374910394265220000"
"EMP101455",False,"85.6941457586619","78","40.0000000000000000","100","57.308243727598570000"
"EMP101840",False,"94.2293906810036","65","40.0000000000000000","100","57.268817204301080000"
"EMP101840",True,"94.2293906810036","65","40.0000000000000000","100","57.268817204301080000"
"EMP101981",False,"92.1505376344086","68","40.0000000000000000","100","57.245161290322580000"
"EMP100794",False,"94.8148148148148","79","20.0000000000000000","100","57.244444444444440000"
"EMP101274",True,"93.3333333333333","69","40.0000000000000000","94.2307692307692","57.223076923076910000"
"EMP101274",False,"93.3333333333333","69","40.0000000000000000","94.2307692307692","57.223076923076910000"
"EMP101890",False,"93.3333333333333","81","20.0000000000000000","100","57.199999999999990000"
"EMP101890",True,"93.3333333333333","81","20.0000000000000000","100","57.199999999999990000"
"EMP101596",False,"97.7777777777778","76","20.0000000000000000","96.1538461538462","57.148717948717960000"
"EMP101596",True,"97.7777777777778","76","20.0000000000000000","96.1538461538462","57.148717948717960000"
"EMP100311",False,"90.7646356033453","54","60.0000000000000000","100","57.029390681003590000"
"EMP100803",False,"88.0645161290323","73","40.0000000000000000","100","57.019354838709690000"
"EMP100803",True,"88.0645161290323","73","40.0000000000000000","100","57.019354838709690000"
"EMP100338",False,"100","70","20.0000000000000000","100","57.000000000000000000"
"EMP101862",True,"99.2592592592593","76","40.0000000000000000","59.6153846153845","56.939316239316240000"
"EMP101862",False,"99.2592592592593","76","40.0000000000000000","59.6153846153845","56.939316239316240000"
"EMP100748",False,"100","69","20.0000000000000000","100","56.800000000000000000"
"EMP101799",False,"88.6666666666666","71","40.0000000000000000","100","56.799999999999980000"
"EMP101603",True,"92.5925925925926","65","40.0000000000000000","100","56.777777777777780000"
"EMP101603",False,"92.5925925925926","65","40.0000000000000000","100","56.777777777777780000"
"EMP101344",False,"96.4814814814815","59","40.0000000000000000","100","56.744444444444450000"
